iter	Passed	Remaining
0	2	283
1	5	247
2	7	240
3	9	220
4	11	219
5	13	219
6	16	216
7	18	212
8	20	212
9	23	209
10	25	206
11	28	205
12	30	205
13	33	204
14	36	204
15	38	202
16	40	199
17	42	195
18	44	190
19	46	185
20	48	182
21	50	179
22	52	175
23	53	170
24	55	167
25	57	164
26	59	161
27	61	158
28	63	156
29	66	154
30	68	151
31	70	148
32	72	147
33	75	145
34	77	143
35	79	141
36	81	139
37	84	137
38	85	133
39	87	131
40	89	128
41	90	124
42	92	122
43	94	120
44	96	117
45	98	115
46	101	113
47	103	111
48	105	109
49	107	107
50	109	105
51	111	102
52	113	100
53	115	98
54	117	96
55	119	93
56	122	92
57	124	89
58	126	87
59	129	86
60	131	84
61	133	82
62	135	79
63	137	77
64	140	75
65	142	73
66	144	71
67	146	68
68	148	66
69	150	64
70	152	62
71	155	60
72	157	58
73	159	56
74	162	54
75	164	51
76	166	49
77	168	47
78	171	45
79	173	43
80	175	41
81	177	38
82	179	36
83	181	34
84	183	32
85	185	30
86	187	28
87	189	25
88	192	23
89	194	21
90	196	19
91	198	17
92	200	15
93	202	12
94	204	10
95	206	8
96	208	6
97	210	4
98	212	2
99	215	0
